town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Kimwarer,135.64,145.54,151.04,160.04,160.04,160.04,180.0,179.0,178.0,178.0,178.0,178.0,181.74,178.57,195.07,169.86,182.39,131.52,132.2
Bondo,135.52,145.42,150.92,159.92,159.92,159.92,179.89,178.89,177.89,177.89,177.89,177.89,179.82,178.65,194.95,169.79,182.27,132.14,131.52
Tambach,135.44,145.34,150.84,159.84,159.84,159.84,179.81,178.81,177.81,177.81,177.81,177.81,,179.36,194.87,169.71,182.2,131.72,132.14
Maralal,135.37,145.27,150.77,159.77,159.77,159.77,179.73,178.73,177.73,177.73,177.73,177.73,,178.88,194.78,169.67,182.11,130.52,131.72
Kiwawa,135.32,145.22,150.72,159.72,159.72,159.72,179.69,178.69,177.69,177.69,177.69,177.69,181.22,178.87,194.74,169.53,182.08,131.23,130.52
Siaya,135.18,145.08,150.58,159.58,159.58,159.58,179.55,178.55,177.55,177.55,177.55,177.55,179.5,181.85,194.59,170.02,181.94,130.54,131.23
Mogotio,135.67,145.57,151.07,160.07,160.07,160.07,180.05,179.05,178.05,178.05,178.05,178.05,179.3,182.95,195.11,170.37,182.42,130.96,130.54
Isiolo,136.03,145.93,151.43,160.43,160.43,160.43,180.39,179.39,178.39,178.39,178.39,178.39,178.95,178.95,195.48,170.05,182.78,131.1,130.96
Lokichar,135.7,145.6,151.1,160.1,160.1,160.1,180.07,179.07,178.07,178.07,178.07,178.07,186.39,179.34,195.14,170.68,182.45,131.21,131.1
Homabay,136.33,146.23,151.73,160.73,160.73,160.73,180.71,179.71,178.71,178.71,178.71,178.71,178.62,,195.82,172.29,183.08,132.12,131.21
Tarbaj,137.95,147.85,153.35,162.35,162.35,162.35,182.33,181.33,180.33,180.33,180.33,180.33,180.85,180.92,197.56,171.09,184.7,131.99,132.12
Kaplamai,136.75,146.65,152.15,161.15,161.15,161.15,181.12,180.12,179.12,179.12,179.12,179.12,179.69,,196.26,171.22,183.5,130.96,131.99
